Fullname, Course, Score, Experience, StudyMode, StudyPattern
Cynthia Anthony,Doctor of Podiatric Medicine (D.P.M.),74,dentistry,online,FT
David Eaton,Master of Health Administration (M.H.A.),68,nursing,online,FT
Joshua Dennis,Doctor of Dental Medicine (D.M.D.),97,,,PT
Tracie Holden,Doctor of Dental Surgery (D.D.S.),67,surgery,,PT
Cory Thomas,Doctor of Optometry (O.D.),69,nursing,online,PT
Terri Duarte,Doctor of Physical Therapy (D.P.T.),88,immunology,,FT
Kayla Lucas,Doctor of Podiatric Medicine (D.P.M.),58,immunology,on-campus,PT
Charles Butler,Doctor of Chiropractic (D.C.),57,nutrition,online,FT
Herbert Walker,Doctor of Medicine (M.D.),80,nutrition,online,PT
Jessica Schultz,Doctor of Medicine (M.D.),96,,,PT
Robert Allen,Bachelor of Science in Nursing (B.S.N.),100,,online,
Jack Cox,Doctor of Medicine (M.D.),52,nutrition,,FT
Morgan Miller,Doctor of Podiatric Medicine (D.P.M.),93,immunology,on-campus,FT
Jesse Sharp,Doctor of Physical Therapy (D.P.T.),71,,,PT
Jodi Tate,Master of Public Health (M.P.H.),55,immunology,,FT
Tyler Phelps,Doctor of Dental Medicine (D.M.D.),86,immunology,on-campus,PT
Megan Wong,Master of Public Health (M.P.H.),50,immunology,on-campus,PT
Richard Hill,Doctor of Nursing Practice (D.N.P.),67,nutrition,online,PT
Diane Andrews,Master of Health Administration (M.H.A.),79,physiotherapy,on-campus,FT
Brian Morrison,Doctor of Chiropractic (D.C.),56,dentistry,online,FT
Carol Williams,Doctor of Veterinary Medicine (D.V.M.),65,nursing,on-campus,FT
Lori Richardson,Doctor of Dental Surgery (D.D.S.),55,nursing,,
Patrick Coleman,Doctor of Physical Therapy (D.P.T.),77,nursing,online,
Alex Walker,Doctor of Podiatric Medicine (D.P.M.),88,surgery,on-campus,
Shawn Mathis,Bachelor of Science in Nursing (B.S.N.),71,physiotherapy,online,PT
Gary Ortiz,Doctor of Veterinary Medicine (D.V.M.),96,nursing,online,
William Martinez,Doctor of Veterinary Medicine (D.V.M.),77,nutrition,,FT
Kyle Rodriguez,Doctor of Pharmacy (Pharm.D.),71,surgery,,PT
Melissa Casey,Doctor of Nursing Practice (D.N.P.),82,,on-campus,PT
Kenneth King,Doctor of Dental Medicine (D.M.D.),60,immunology,online,FT
Amanda Daniels,Doctor of Pharmacy (Pharm.D.),55,dentistry,online,
Deborah Garcia,Doctor of Nursing Practice (D.N.P.),96,nutrition,,PT
Kristin Peterson,Doctor of Nursing Practice (D.N.P.),56,physiotherapy,,PT
Maria Bailey,Doctor of Medicine (M.D.),53,,on-campus,FT
Deanna Sanders,Doctor of Osteopathic Medicine (D.O.),95,dentistry,online,FT
Anita Weaver,Doctor of Podiatric Medicine (D.P.M.),57,nursing,online,FT
Mary Harper,Bachelor of Science in Nursing (B.S.N.),80,immunology,online,FT
Richard Smith,Doctor of Veterinary Medicine (D.V.M.),86,,online,FT
Trevor Schroeder,Doctor of Veterinary Medicine (D.V.M.),80,surgery,,
Jennifer Dean,Doctor of Chiropractic (D.C.),81,surgery,on-campus,PT
Kathryn Jackson,Doctor of Nursing Practice (D.N.P.),75,nutrition,online,FT
Angela Foster,Doctor of Dental Surgery (D.D.S.),89,immunology,online,PT
Joseph Crawford,Doctor of Podiatric Medicine (D.P.M.),94,nutrition,on-campus,PT
Jack Cummings,Doctor of Dental Medicine (D.M.D.),100,physiotherapy,,
Alexis Baker,Master of Public Health (M.P.H.),95,immunology,,FT
Kimberly Stevens,Doctor of Nursing Practice (D.N.P.),65,nursing,on-campus,
Sara Williams,Doctor of Pharmacy (Pharm.D.),80,immunology,,FT
Chad Martinez,Doctor of Dental Medicine (D.M.D.),83,dentistry,on-campus,PT
Veronica Foster,Bachelor of Science in Biomedical Science (B.S.),73,nutrition,,FT
Susan Campbell,Master of Public Health (M.P.H.),83,surgery,,PT
Michael Hammond,Doctor of Chiropractic (D.C.),70,dentistry,on-campus,
Nicholas Miller,Doctor of Veterinary Medicine (D.V.M.),52,dentistry,online,FT
Jane Johnson,Doctor of Chiropractic (D.C.),89,dentistry,online,
Joan Reed,Bachelor of Science in Nursing (B.S.N.),68,nutrition,,FT
Adam Smith,Doctor of Chiropractic (D.C.),53,surgery,online,
Alison Allison,Master of Public Health (M.P.H.),88,immunology,,FT
Kimberly Brooks,Doctor of Chiropractic (D.C.),57,,,FT
Eddie Watson,Doctor of Chiropractic (D.C.),72,surgery,on-campus,FT
Michaela Stuart,Doctor of Dental Surgery (D.D.S.),74,dentistry,online,FT
Sandra Munoz,Doctor of Medicine (M.D.),51,surgery,,FT
Ashley Chambers,Doctor of Dental Surgery (D.D.S.),92,immunology,online,PT
Brittany Morris,Master of Health Administration (M.H.A.),72,dentistry,,PT
Tracy Lopez,Doctor of Pharmacy (Pharm.D.),97,nursing,online,FT
Jesse Cohen,Doctor of Osteopathic Medicine (D.O.),53,nursing,on-campus,PT
Elizabeth Harris,Master of Public Health (M.P.H.),50,surgery,on-campus,
Tom Marquez,Bachelor of Science in Biomedical Science (B.S.),99,,,
Francisco Rogers,Doctor of Veterinary Medicine (D.V.M.),96,dentistry,on-campus,FT
Jose Kerr,Doctor of Pharmacy (Pharm.D.),94,immunology,online,FT
Jerry Simpson,Doctor of Podiatric Medicine (D.P.M.),63,,on-campus,
Erika Steele,Doctor of Veterinary Medicine (D.V.M.),50,nutrition,,FT
Ronald Barr,Doctor of Physical Therapy (D.P.T.),68,dentistry,on-campus,FT
Kevin Ross,Bachelor of Science in Biomedical Science (B.S.),91,immunology,on-campus,FT
Patrick Hansen,Master of Public Health (M.P.H.),78,dentistry,,
Kelsey Parks MD,Doctor of Osteopathic Medicine (D.O.),65,dentistry,,
Samantha Spencer,Doctor of Medicine (M.D.),68,physiotherapy,on-campus,PT
Tabitha Nicholson,Bachelor of Science in Nursing (B.S.N.),67,physiotherapy,on-campus,PT
