Fullname,Course,Score,Experience,Study_mode,Study_pattern
Mark Garcia,Master of Public Health (M.P.H.),97,dentistry,on-campus,PT
Whitney Morgan,Doctor of Pharmacy (Pharm.D.),70,dentistry,online,FT
Stephanie Norman,Doctor of Dental Medicine (D.M.D.),58,dentistry,online,PT
Michael Oliver,Doctor of Dental Surgery (D.D.S.),75,nutrition,on-campus,PT
Andrea Smith,Master of Health Administration (M.H.A.),78,dentistry,online,PT
Joseph Snyder,Doctor of Dental Medicine (D.M.D.),56,nutrition,on-campus,PT
Kimberly Torres,Doctor of Physical Therapy (D.P.T.),94,dentistry,on-campus,PT
Jacqueline Myers,Doctor of Nursing Practice (D.N.P.),65,nutrition,online,PT
Timothy Neal,Doctor of Chiropractic (D.C.),98,nursing,on-campus,FT
Lauren Thomas,Bachelor of Science in Nursing (B.S.N.),59,nursing,online,PT
Jeremy Jordan,Doctor of Osteopathic Medicine (D.O.),67,dentistry,online,FT
Patrick Adams,Doctor of Dental Medicine (D.M.D.),76,surgery,on-campus,FT
Abigail Martin,Doctor of Physical Therapy (D.P.T.),88,nursing,online,FT
Tyler Page,Bachelor of Science in Nursing (B.S.N.),73,surgery,online,FT
Barbara Williams,Doctor of Optometry (O.D.),92,dentistry,online,PT
Christopher Cooper,Bachelor of Science in Nursing (B.S.N.),96,nutrition,online,PT
Taylor Fowler,Doctor of Medicine (M.D.),71,nursing,online,FT
Leon Howard,Doctor of Optometry (O.D.),50,surgery,on-campus,FT
Andrew Cardenas,Doctor of Dental Medicine (D.M.D.),62,nursing,on-campus,PT
Jason Adams,Doctor of Dental Surgery (D.D.S.),70,surgery,on-campus,PT
Dwayne Lee,Doctor of Dental Surgery (D.D.S.),61,surgery,online,FT
Elizabeth Wallace,Doctor of Podiatric Medicine (D.P.M.),76,nutrition,online,FT
Cynthia Potter,Doctor of Chiropractic (D.C.),53,nutrition,on-campus,PT
Fernando Sharp,Doctor of Podiatric Medicine (D.P.M.),59,nursing,online,FT
Michael Stone,Master of Public Health (M.P.H.),54,dentistry,on-campus,FT
Gary Leach,Doctor of Nursing Practice (D.N.P.),90,dentistry,online,PT
Luis Jensen,Doctor of Nursing Practice (D.N.P.),69,dentistry,on-campus,FT
Jean Reyes,Bachelor of Science in Biomedical Science (B.S.),94,surgery,on-campus,PT
David Grant,Master of Public Health (M.P.H.),61,nutrition,on-campus,PT
Mr. Hector Kelly,Bachelor of Science in Biomedical Science (B.S.),88,nutrition,on-campus,FT
Erin Taylor,Master of Health Administration (M.H.A.),97,nutrition,online,FT
Jeremy Dickson,Master of Public Health (M.P.H.),76,surgery,on-campus,FT
Dr. Diana Lee,Doctor of Chiropractic (D.C.),77,nursing,online,PT
Carolyn Dunn,Doctor of Medicine (M.D.),63,dentistry,online,FT
Mr. Benjamin Martinez,Doctor of Physical Therapy (D.P.T.),79,nursing,online,PT
Joseph Miller,Bachelor of Science in Biomedical Science (B.S.),87,surgery,on-campus,PT
Katie Dixon,Doctor of Pharmacy (Pharm.D.),98,surgery,on-campus,FT
Lee Smith,Doctor of Nursing Practice (D.N.P.),57,dentistry,online,PT
Samuel Li,Bachelor of Science in Nursing (B.S.N.),96,surgery,online,FT
Frank Andrews,Doctor of Podiatric Medicine (D.P.M.),99,surgery,online,FT
Betty Hughes,Doctor of Nursing Practice (D.N.P.),60,surgery,on-campus,PT
Stephanie Barrett,Master of Health Administration (M.H.A.),79,nutrition,on-campus,FT
Jennifer Torres,Doctor of Veterinary Medicine (D.V.M.),53,surgery,on-campus,FT
Richard Reilly,Doctor of Medicine (M.D.),71,dentistry,online,FT
Sabrina Stewart,Doctor of Osteopathic Medicine (D.O.),53,nutrition,on-campus,PT
Katrina Payne,Doctor of Osteopathic Medicine (D.O.),97,surgery,online,PT
Debbie Delgado,Doctor of Optometry (O.D.),90,nutrition,online,FT
Ashley Day,Doctor of Physical Therapy (D.P.T.),81,nutrition,on-campus,PT
Debra Munoz,Doctor of Optometry (O.D.),85,dentistry,on-campus,FT
Roberto Fletcher,Doctor of Pharmacy (Pharm.D.),74,nursing,on-campus,FT
Eric Garrett,Doctor of Nursing Practice (D.N.P.),77,nursing,online,PT
Hunter Miranda,Doctor of Optometry (O.D.),58,surgery,on-campus,PT
Matthew Greene,Doctor of Nursing Practice (D.N.P.),59,surgery,online,PT
Kelli Perez,Doctor of Veterinary Medicine (D.V.M.),50,nutrition,on-campus,FT
Elizabeth Ware,Doctor of Pharmacy (Pharm.D.),68,surgery,on-campus,PT
Ethan Jacobs,Doctor of Pharmacy (Pharm.D.),56,nutrition,on-campus,PT
Laurie Rivera,Doctor of Dental Medicine (D.M.D.),65,nutrition,online,PT
William Price,Bachelor of Science in Nursing (B.S.N.),86,dentistry,on-campus,FT
Stacy Thompson,Doctor of Veterinary Medicine (D.V.M.),76,dentistry,online,FT
Warren Wade,Doctor of Dental Surgery (D.D.S.),55,dentistry,online,PT
Jason Clark,Doctor of Physical Therapy (D.P.T.),80,dentistry,on-campus,FT
Tina Horton,Doctor of Podiatric Medicine (D.P.M.),64,surgery,on-campus,PT
Bruce Chung,Doctor of Osteopathic Medicine (D.O.),87,dentistry,on-campus,FT
Joy Malone,Doctor of Podiatric Medicine (D.P.M.),81,surgery,online,FT
Danny Castro,Doctor of Nursing Practice (D.N.P.),98,surgery,online,PT
Kristina Nichols,Doctor of Optometry (O.D.),92,surgery,online,FT
Vincent Bird,Doctor of Pharmacy (Pharm.D.),70,dentistry,on-campus,FT
Heather Ballard,Doctor of Chiropractic (D.C.),82,surgery,on-campus,PT
Christopher Lloyd,Master of Health Administration (M.H.A.),82,nutrition,on-campus,PT
Rebecca Vega,Master of Public Health (M.P.H.),85,dentistry,online,FT
Samantha Miller,Doctor of Nursing Practice (D.N.P.),96,dentistry,on-campus,FT
Kelly Hill,Doctor of Nursing Practice (D.N.P.),65,nutrition,online,FT
Melissa Miller,Doctor of Podiatric Medicine (D.P.M.),55,nutrition,online,FT
Amy Zimmerman,Doctor of Veterinary Medicine (D.V.M.),64,nursing,on-campus,FT
Kendra Lynn,Doctor of Chiropractic (D.C.),59,dentistry,online,FT
Nicole Campbell,Doctor of Optometry (O.D.),81,nursing,on-campus,PT
Gary Hernandez,Master of Public Health (M.P.H.),56,surgery,online,FT
Allison Martin,Doctor of Chiropractic (D.C.),52,surgery,on-campus,PT
Brittney Coleman,Doctor of Medicine (M.D.),57,surgery,online,PT
Todd Duke,Doctor of Dental Medicine (D.M.D.),74,dentistry,online,PT
Barbara Johnson,Doctor of Physical Therapy (D.P.T.),55,nutrition,online,FT
William Kaufman,Doctor of Chiropractic (D.C.),64,dentistry,online,PT
Stacey Dunlap,Doctor of Pharmacy (Pharm.D.),57,nursing,on-campus,FT
Rebecca Edwards,Master of Health Administration (M.H.A.),67,nursing,online,FT
Anna Johnson,Doctor of Dental Medicine (D.M.D.),91,surgery,on-campus,FT
Lisa Lewis,Doctor of Podiatric Medicine (D.P.M.),54,nursing,online,PT
Vanessa White,Doctor of Optometry (O.D.),80,surgery,on-campus,PT
Sheila Livingston,Bachelor of Science in Nursing (B.S.N.),52,surgery,online,FT
Leslie Benson,Bachelor of Science in Nursing (B.S.N.),77,nutrition,online,PT
Karen Williams,Doctor of Podiatric Medicine (D.P.M.),98,nutrition,on-campus,PT
Jonathan Owens,Doctor of Physical Therapy (D.P.T.),65,dentistry,on-campus,PT
Joseph Mayer,Master of Health Administration (M.H.A.),100,dentistry,on-campus,PT
Danielle Dodson,Doctor of Osteopathic Medicine (D.O.),78,surgery,online,PT
Jennifer Williams,Bachelor of Science in Biomedical Science (B.S.),86,surgery,on-campus,PT
Sharon Callahan,Doctor of Dental Medicine (D.M.D.),100,surgery,on-campus,PT
Heather Sosa,Master of Public Health (M.P.H.),55,dentistry,on-campus,PT
Elizabeth Jones,Doctor of Optometry (O.D.),86,nutrition,online,FT
Jennifer Mcdonald,Bachelor of Science in Biomedical Science (B.S.),79,nutrition,online,PT
Pamela Todd,Doctor of Osteopathic Medicine (D.O.),73,surgery,online,FT
David Vang,Doctor of Dental Surgery (D.D.S.),73,dentistry,online,PT
